time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-27T00:09:03.313Z,55.1045,162.7953,22.28,4,mb,,126,3.211,0.59,us,us7000g9wl,2022-03-05T23:11:04.040Z,"126 km S of Ust’-Kamchatsk Staryy, Russia",earthquake,11.7,7.8,0.149,12,reviewed,us,us
2021-12-26T20:37:36.908Z,53.9853,-160.6346,25.4,2.3,ml,,,,0.54,ak,ak021gjplm7u,2022-01-19T17:20:50.470Z,"150 km S of Sand Point, Alaska",earthquake,,6.1,,,reviewed,ak,ak
2021-12-26T19:10:55.774Z,59.9045,-152.5055,87.7,2.3,ml,,,,0.53,ak,ak021gjoufnr,2022-03-05T23:10:43.040Z,"40 km WNW of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-26T18:17:40.065Z,51.9012,176.1028,35,3.9,mb,,190,1.482,1.15,us,us6000gfiv,2022-03-05T23:10:43.040Z,"224 km ESE of Attu Station, Alaska",earthquake,7.6,2,0.109,22,reviewed,us,us
2021-12-26T16:15:43.883Z,54.3255,-159.7538,35,2.3,ml,,,,0.55,ak,ak021gjn36l0,2022-01-19T17:20:47.299Z,"122 km SSE of Sand Point, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2021-12-26T15:48:52.203Z,61.342,-150.7265,53.5,2.7,ml,,,,0.71,ak,ak021gjmou77,2022-03-05T23:10:42.040Z,"25 km SSW of Susitna, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-12-26T11:30:42.288Z,52.0508,-179.775,124.18,3.1,ml,,94,0.367,0.57,us,us7000gd83,2022-03-05T23:11:14.040Z,"216 km W of Adak, Alaska",earthquake,6.9,7.7,0.097,14,reviewed,us,us
2021-12-26T11:21:19.323Z,60.1141,-152.8429,110.4,2.1,ml,,,,0.56,ak,ak021gjk58w5,2022-01-19T17:20:30.568Z,"64 km WNW of Happy Valley, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-12-26T10:45:30.009Z,55.1289,-160.109,18.94,2.8,ml,,124,0.305,0.45,us,us7000gd7z,2022-03-05T23:11:14.040Z,"33 km SE of Sand Point, Alaska",earthquake,2.3,5.4,0.085,18,reviewed,us,us
2021-12-26T10:13:08.690Z,56.1394,-156.3472,6.9,2.5,ml,,,,0.72,ak,ak021gjji2t1,2022-03-05T23:11:14.040Z,"128 km E of Chignik, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2021-12-26T08:36:30.480Z,61.3694,-150.0152,43.9,3.2,ml,,,,0.6,ak,ak021gjig6ox,2022-03-05T23:10:41.040Z,"2 km WNW of Point MacKenzie, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-12-26T07:04:15.625Z,55.7984,-162.1487,12.57,2.9,ml,,131,0.107,0.46,us,us7000gd7y,2022-03-05T23:11:14.040Z,"63 km WSW of Nelson Lagoon, Alaska",earthquake,2.9,1.6,0.148,6,reviewed,us,us
